%% LaTeX2e file `rules-time.dat'
%% generated by the `filecontents' environment
%% from source `thesis' on 2017/06/24.
%%
rules filter-only full
10  4.71     6.71
50  10.39    12.39
100 12.32    14.32
200 15.63    20.63
500 33.15    50.15
